title,url,views_text,upload_text,duration_text,channel,views,days_since_upload,duration_minutes,videoId,title_length,num_hashtags,was_scraped,was_api
Ranking Funniest TikTok Bird Trend😂 - part 4,https://www.youtube.com/shorts/LhqB7j0w9cA,7.6M views,7 days ago,,EpicCast,7600000,7.0,,LhqB7j0w9cA,44,0,True,False
Top 17 New Technology Trends That Will Define 2026,https://www.youtube.com/watch?v=Otim2mDjsYM&pp=ygUIdHJlbmRpbmc%3D,332K views,2 months ago,12:10,AI Uncovered,332000,0.001388888888888889,12.166666666666666,Otim2mDjsYM,50,0,True,False
Top Hits Spotify 2025 ~ Trending Songs 2025 🎵 Viral Songs Latest & New Pop Hits Playlist Mix 2025,https://www.youtube.com/watch?v=Gt8-xhZceaU&list=RDGt8-xhZceaU&start_radio=1&pp=ygUIdHJlbmRpbmegBwE%3D,329K views,9 days ago,2:30:53,Dynamic Deep House,329000,9.0,150.88333333333333,Gt8-xhZceaU,97,0,True,False
How To Find Trending Topics On YouTube Before Everyone Else (2025),https://www.youtube.com/watch?v=33lry2LGOhU&pp=ygUIdHJlbmRpbmc%3D,15K views,1 month ago,27:44,Shane Hummus,15000,0.0006944444444444445,27.733333333333334,33lry2LGOhU,66,0,True,False
Love this dance trend ❤️😱@itsNovasWorld #dance #trends #shorts,https://www.youtube.com/shorts/LJ9X4cUCvH0,17M views,2 months ago,,Nisha Noelle,17000000,0.001388888888888889,,LJ9X4cUCvH0,62,3,True,False
YouTube is REMOVING The Trending Page...,https://www.youtube.com/watch?v=ZhRvUC2vGNY&pp=ygUIdHJlbmRpbmc%3D,94K views,3 months ago,6:47,Timeworks,94000,0.0020833333333333333,6.783333333333333,ZhRvUC2vGNY,40,0,True,False
New Tiktok Mashup 2025 Philippines Party Music Viral Dance Trends October 24th,https://www.youtube.com/watch?v=ZnDs27UXWIo&pp=ygUIdHJlbmRpbmc%3D,292K views,16 hours ago,5:36,Kuya Magik,292000,0.6666666666666666,5.6,ZnDs27UXWIo,78,0,True,False
Mainey kare kand Trending reels editing | Hola amigo song video editing | Instagram Trending Editing,https://www.youtube.com/watch?v=q6PQEvM58Vc&pp=ygUIdHJlbmRpbmc%3D,3.9K views,1 day ago,3:00,Rohit Verma,3900,1.0,3.0,q6PQEvM58Vc,100,0,True,False
happy diwali 🙈❤️🌚 SIMPAL KHAREL NEW TRENDING TIKTOK/ REELS VIDEO #simpalkharel  #shorts #trending,https://www.youtube.com/shorts/8_yvQW1pZk0,26M views,9 days ago,,Simpal Kharel,26000000,9.0,,8_yvQW1pZk0,97,3,True,False
Suspect trend 😂 #twins #garzacrew #trends,https://www.youtube.com/shorts/Ut1TA8M_a2Y,11M views,11 months ago,,Garza Crew,11000000,0.007638888888888889,,Ut1TA8M_a2Y,41,3,True,False
KAYLA & KALLI VIRAL BIRD TREND #tiktok #viral #popular #trending #funny #bff #trend #dance #birds,https://www.youtube.com/shorts/cZfNs8rG8Xc,1.1M views,5 days ago,,PurpleStars02,1100000,5.0,,cZfNs8rG8Xc,97,9,True,False
Rate this transition 1-10!!! #makeup #beauty #makeuptutorial #makeupartist #shorts #trending #trend,https://www.youtube.com/shorts/s4CrXY4lm-Q,2.3M views,5 months ago,,Tyler Schmitt,2300000,0.003472222222222222,,s4CrXY4lm-Q,99,7,True,False
Rell Vert & Bloodhound Q50 - Trending Topic (Official Music Video),https://www.youtube.com/watch?v=kX9Lgt-EWWM&list=RDkX9Lgt-EWWM&start_radio=1&pp=ygUIdHJlbmRpbmegBwE%3D,253K views,8 days ago,2:10,Bloodhound Q50,253000,8.0,2.1666666666666665,kX9Lgt-EWWM,66,0,True,False
This trend!,https://www.youtube.com/shorts/8gyUBy5Xt5M,6.1M views,1 month ago,,Favorite Creators,6100000,0.0006944444444444445,,8gyUBy5Xt5M,11,0,True,False
#trending #tiktok #challenge #trend #music,https://www.youtube.com/shorts/ALp8zOseiy8,30M views,1 month ago,,Luna Vyxen,30000000,0.0006944444444444445,,ALp8zOseiy8,42,5,True,False
Who won BOB trend?🟡🟢🟣,https://www.youtube.com/shorts/hnfasiMKGqQ,31M views,2 months ago,,funboxmoments,31000000,0.001388888888888889,,hnfasiMKGqQ,21,0,True,False
POWER 💞 Trend VIRAL VIDEO #shorts #trending #dance #youtubeshorts #ytshorts #artist #dance,https://www.youtube.com/shorts/Oju5uzHorpI,70M views,10 months ago,,Esenya_miss ( Eseniia Mikheeva),70000000,0.006944444444444444,,Oju5uzHorpI,90,7,True,False
BIRD TREND on tiktok !,https://www.youtube.com/shorts/PQ3L8ZaYAaE,3.7M views,2 weeks ago,,Trendjam,3700000,14.0,,PQ3L8ZaYAaE,22,0,True,False
Impossible for Others — Easy for the Cat 😎🐦 #trending #animals #wildlife #cat #shorts #viral,https://www.youtube.com/shorts/lz1CcrRjlp4,15M views,2 weeks ago,,Rendi goodboy,15000000,14.0,,lz1CcrRjlp4,92,6,True,False
Confess Your Love Trend | New TikTok Dance Challenge #dance #slowed #trending #tiktok #vibes #blowup,https://www.youtube.com/shorts/TBTXd8u1BFE,1.5M views,3 weeks ago,,Ultimate TikTok Trends,1500000,21.0,,TBTXd8u1BFE,100,6,True,False
OUCH 😢😢😢 #makeup #makeupchallenge #prank #sfxmakeup #trends #makeuptrends #sfxartist,https://www.youtube.com/shorts/f4UAyV2Fwe4,11M views,2 years ago,,Gee Esler-Box,11000000,730.0,,f4UAyV2Fwe4,84,7,True,False
Who did it best? ❤️ #Shorts #Dance #Trending,https://www.youtube.com/shorts/2sokLXhqRFQ,8.6M views,2 months ago,,Brat TV,8600000,0.001388888888888889,,2sokLXhqRFQ,44,3,True,False
Funny Accidental Twinning with Sister #funny #twinmoments #momlife #momtok #sister #mom #trending,https://www.youtube.com/shorts/RXsj69PyjQc,70M views,2 months ago,,Megan Lawing,70000000,0.001388888888888889,,RXsj69PyjQc,97,7,True,False
What do y'all think of this trend 🤔 #moneytalks #trending #edit,https://www.youtube.com/shorts/tOA8LDqE7oo,12M views,8 months ago,,Daytee Editz Trends,12000000,0.005555555555555556,,tOA8LDqE7oo,63,3,True,False
KALOGERAS SISTER TREND 💃💃💃#edit #trending #tiktok #challenge #music #dance #explore,https://www.youtube.com/shorts/v04OkBf7STI,23M views,1 year ago,,midoeditz,23000000,365.0,,v04OkBf7STI,83,7,True,False
New trend alert!! #shorts,https://www.youtube.com/shorts/hwYOe5nU5d4,24M views,3 years ago,,Romina Gafur,24000000,1095.0,,hwYOe5nU5d4,25,1,True,False
Did you notice the way Vance looked at Trump#shorts #shortvideo #trending #actress #celebrity,https://www.youtube.com/shorts/uUuCpG1XwEU,5.2M views,4 months ago,,Cute pet park,5200000,0.002777777777777778,,uUuCpG1XwEU,93,5,True,False
"Robot Scares Dog, But Cat Stays Cool #trending #animals #wildlife #cat #dog #shorts",https://www.youtube.com/shorts/skBbw8SgT6Y,77M views,1 month ago,,Rendi goodboy,77000000,0.0006944444444444445,,skBbw8SgT6Y,83,6,True,False
Bloom,https://www.youtube.com/watch?v=h1wPRrJls1I&list=RDh1wPRrJls1I&start_radio=1&pp=ygUIdHJlbmRpbmegBwE%3D,605K views,,3:40,Prateek Kuhad,605000,,3.6666666666666665,h1wPRrJls1I,5,0,True,False
Laufey’s New Lover Girl Dance Trend 💃🔥,https://www.youtube.com/shorts/713vZXoC6co,4M views,3 weeks ago,,Dance Media,4000000,21.0,,713vZXoC6co,38,0,True,False
camera trend 🎥🔴 || #dandysworld #trending #animation #roblox #edit #givemebackmykids #art #tiktok,https://www.youtube.com/shorts/rLFv55Pbia4,1.1M views,5 months ago,,viriri,1100000,0.003472222222222222,,rLFv55Pbia4,97,8,True,False
2025 Trends That Look CHEAP #shorts #viral #shortvideo #viralvideo #trending #fashion #aesthetic,https://www.youtube.com/shorts/k67TwilE96c,737K views,5 months ago,,Let’s Style It,737000,0.003472222222222222,,k67TwilE96c,96,7,True,False
New Christian dance trend❤️❤️!! #dance #tiktok #trending #shorts #fyp #christian #music,https://www.youtube.com/shorts/0-fTAqYCiPc,8.2M views,6 months ago,,Short Trends,8199999,0.004166666666666667,,0-fTAqYCiPc,87,7,True,False
"this trend idk what’s it called 😭 | #dandysworld #shorts | rushed | tw: fruitcake, berryfunny?",https://www.youtube.com/shorts/bzcqrnE-8zY,5.6M views,6 months ago,,doggo!!,5600000,0.004166666666666667,,bzcqrnE-8zY,94,2,True,False
Spotify Playlist 2025 🌴 Trending Music 2025 New Songs | Best Hits Mix of the Year,https://www.youtube.com/watch?v=qEOPqopV5nU&list=RDqEOPqopV5nU&start_radio=1&pp=ygUIdHJlbmRpbmegBwE%3D,23K views,2 days ago,2:33:05,Dynamic Deep House,23000,2.0,153.08333333333334,qEOPqopV5nU,81,0,True,False
Get your head in the game 🏀 *2025 Dance Trend* #Shorts @peja @sydneytaleah,https://www.youtube.com/shorts/koin4x1CGoQ,970K views,2 months ago,,Brat TV,970000,0.001388888888888889,,koin4x1CGoQ,74,1,True,False
The CRAZIEST questions! #scarlett #trends #dance,https://www.youtube.com/shorts/cS5qlzT-EVI,19M views,7 months ago,,Scarlett and Tiania,19000000,0.004861111111111111,,cS5qlzT-EVI,48,3,True,False
Sundari (Official Video) Sanju Rathod Ft. Yashika Jatav | G-Spark | Marathi Song 2025,https://www.youtube.com/watch?v=WpBn9w-Js_c&list=RDWpBn9w-Js_c&start_radio=1&pp=ygUIdHJlbmRpbmegBwE%3D,66M views,1 month ago,3:18,Sanju Rathod SR,66000000,0.0006944444444444445,3.3,WpBn9w-Js_c,85,0,True,False
Diamond Platnumz - Nani (Official Music Video),https://www.youtube.com/watch?v=BaSxCDp04WI&list=RDBaSxCDp04WI&start_radio=1&pp=ygUIdHJlbmRpbmegBwHSBwkJBgoBhyohjO8%3D,5.3M views,2 weeks ago,3:20,Diamond Platnumz,5300000,14.0,3.3333333333333335,BaSxCDp04WI,46,0,True,False
#pov You watch the 2025 dance trend… then the OG shocks you cause it’s so different… #shorts,https://www.youtube.com/shorts/WW1QVKUft58,7.2M views,1 month ago,,Miuka,7200000,0.0006944444444444445,,WW1QVKUft58,92,2,True,False
